Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Aceh Barat,73.69,9.99,17.6,3,1.7,1.18,3.68,0
Aceh Barat Daya,68.75,8.78,15.32,3,2.1,1.45,3.75,0
Aceh Besar,75.13,10.37,13.21,2.7,1.1,1,3.51,0
Aceh Jaya,71.83,9.02,12.25,3.5,1.7,1,3.56,0
Aceh Selatan,69.1,8.92,12.02,2.9,2.1,1,3.69,0
Aceh Singkil,70.75,8.72,19.06,3,1.2,1,3.13,0
Aceh Tamiang,72.32,9.3,12.17,2.3,2.1,1.27,4.01,0
Aceh Tengah,75.41,10.03,14.27,2.3,1.5,1,3.62,0
Aceh Tenggara,71.7,10.1,11.99,1,1.5,1,3.55,0
Aceh Timur,69.87,8.48,13.26,1.4,1.1,1,3.87,0
Aceh Utara,71.7,9.11,16.11,2.2,1.1,1,1.58,0
Agam,74.66,9.23,6.83,2.6,1.8,1.45,3.37,0
Alor,63.82,8.61,19.87,2.4,1.2,1,3.11,0
Ambon,82.56,12.24,5.13,3.2,2.1,1,3.37,0
Asahan,72.09,8.85,8.12,2.9,2.1,1.82,3.64,0
Asmat,53.92,5.82,24.5,1,1.1,1,1,1
Badung,83.87,11.14,2.23,4.7,3.1,2.45,4.57,2
Balangan,71.34,8.13,4.87,4,2.8,1.64,4.07,2
Balikpapan,82.24,10.99,2.23,4.5,3.9,2.64,4.32,2
Banda Aceh,87.17,13.1,6.95,4,3.3,2.18,4.37,2
Bandar Lampung,79.19,10.99,7.37,2.9,2.4,2.55,3.48,2
Bandung,74.27,9.15,6.19,4.6,3.7,2.45,4.51,2
Kota Bandung,83.52,11.07,3.87,5,4.8,4.18,4.51,2
Bandung Barat,70.03,8.24,10.49,4.4,3.1,3.18,4.2,2
Banggai,72.32,8.81,6.56,5,2.9,2.18,4.07,2
Banggai Kepulauan,67.43,8.7,12.32,3.1,1.3,1.09,3.62,0
Banggai Laut,67.43,8.65,13.78,2,1.2,1.36,2.91,0
Bangka,73.98,8.45,4.24,2.5,1.8,1.36,3.95,0
Bangka Barat,70.67,7.48,2.59,3.8,2.5,2.18,3.69,2
Bangka Selatan,68.86,6.93,3.74,4.6,2.9,2.36,3.37,2
Bangka Tengah,71.9,7.24,5.94,4.7,4.3,2.55,4.31,2
Bangkalan,66.27,6.01,18.66,2.6,2.5,2,3.57,0
Bangli,71.34,7.58,5.06,2.2,2,1.09,3.82,0
Kota Banjar,73.64,8.83,5.85,3.5,3,1.82,4.57,2
Banjar,71.87,7.95,2.36,3,2,1,3.99,0
Banjar Baru,80.51,11,3.79,2.9,2.1,1.55,3.49,0
Banjarmasin,79.05,10.35,4.58,5,3.3,2.18,4.88,2
Banjarnegara,69.6,6.87,14.71,4.9,3.4,1.64,4.32,2
Bantaeng,71.48,7.26,8.26,4.9,3.3,1.82,4.13,2
Bantul,81.74,9.81,11.66,4,3.7,3.09,4.88,2
Banyu Asin,69.51,7.48,9.31,3.1,2.1,1,3.56,0
Banyumas,74.52,7.91,11.95,4.5,3.8,2.55,4.69,2
Banyuwangi,73.11,7.78,6.54,5,4.6,4.18,5,2
Barito Kuala,68.84,7.92,4.36,3.2,2.4,1.27,3.88,0
Barito Selatan,72.36,9.22,4.83,3.8,2.6,2.64,3.55,2
Barito Timur,73.26,9.54,6.66,3.1,1.7,1.73,3.75,0
Barito Utara,72.31,8.92,5.67,2.9,2.2,1.09,3.56,0
Barru,73.06,8.8,8.31,1.2,2.4,1.82,3.81,0
Batam,82.86,11.21,4.85,4.1,3.5,2.73,4.19,2
Batang,70.74,7.08,8.73,3.3,3.6,2.36,4.02,2
Batang Hari,71.67,8.35,8.63,3.1,3.3,2.18,4.31,2
Batu,78.79,9.87,3.06,3.7,3.4,2.36,4.07,2
Batu Bara,70.83,8.51,10.94,3,2.1,1,3.5,0
Bau Bau,78.13,11.03,7.4,3.1,2.4,2.45,3.69,2
Bekasi,76.44,9.76,4.8,4.7,3.5,3.09,4.57,2
Kota Bekasi,83.54,11.79,4.01,4.1,3.3,2.55,4.5,2
Belitung,74.47,9.05,6.11,3,2.8,3,3.88,2
Belitung Timur,73.19,8.99,6.36,4,4.2,3.09,4.57,2
Belu,64.43,7.5,13.86,3.5,1.5,1,3.25,0
Bener Meriah,75.01,10.13,18.18,2.4,1.8,1,3.82,0
Bengkalis,75.28,9.74,6.36,2.8,1.7,1.64,3.81,0
Bengkayang,70.3,7.41,6,3.3,2.8,1.36,3.88,0
Bengkulu,82.04,11.84,13.76,3,1.9,1.18,3.44,0
Bengkulu Selatan,72.35,9.42,17.1,3.1,1.7,1.55,3.93,0
Bengkulu Tengah,69.84,7.71,10.14,2.1,2.4,1.36,3.82,0
Bengkulu Utara,71.11,8.32,10.96,2.9,3,1.82,4.07,0
Berau,76.66,9.57,5.08,2.8,1.9,1,2.8,0
Biak Numfor,73.98,10.55,23.46,2.3717,1.3965,1.0761,3.248,0
Bima,68.94,8.3,13.88,2.9,1.8,1.18,3.3,0
Kota Bima,78.04,10.96,8.12,2.4,1.9,1,3.76,0
Binjai,78.1,11.2,4.75,3.3,2.8,1.73,3.75,2
Bintan,76.18,9.15,5.44,4,2.9,2,3.68,2
Bireuen,74.45,9.59,12.1,1.4,1.4,1.18,3.51,0
Bitung,75.71,9.96,6.27,3.9,3.4,2.18,3.51,2
Blitar,73.09,7.87,8.16,4.6,3,3.09,4.2,2
Kota Blitar,81.27,10.82,6.75,4.3,3.4,3.27,4.76,2
Blora,71.39,7.26,11.42,3.5,2.6,1.45,4.25,0
Boalemo,68.74,7.31,17.83,2,1.6,1.27,3.37,0
Bogor,72.39,8.39,7.05,4,3.9,3,4.64,2
Kota Bogor,78.52,10.71,6.53,4.1,3.9,3.64,4.33,2
Bojonegoro,71.78,7.59,11.69,4.6,4.1,2.64,4.57,2
Bolaang Mongondow,70.29,8.38,7.74,2.3,2.2,1,3.76,0
Bolaang Mongondow Selatan,67.14,8.28,11.33,2.7,2,1.82,3.31,0
Bolaang Mongondow Timur,68.53,8.29,5.87,3.3,2.4,1.09,3.68,0
Bolaang Mongondow Utara,69.32,8.61,7.88,2.1,1.5,1.27,3.25,0
Bombana,68.15,8.1,10.54,2.9,2.5,1.55,3.51,0
Bondowoso,68.65,6.53,12.6,4,4.2,3,3.95,2
Bone,68.36,7.55,9.58,3.3,2.6,2.18,3.82,0
Bone Bolango,72.38,8.52,14.8,3.7,2,1.36,3.95,0
Bontang,82.42,10.97,3.74,3.2,2.7,2.55,4.13,2
Boven Digoel,64.26,9.42,19.24,2,1.8,1,2.81,0
Boyolali,75.96,8.17,9.63,5,3.7,2.82,4.07,2
Brebes,68.46,6.41,15.6,2.8,2.3,1,3.82,0
Bukittinggi,82.51,11.65,4.08,1.1,1.6,1.09,3.88,0
Buleleng,74.52,7.69,5.39,3.7,3.5,2.36,4.26,2
Bulukumba,71.97,8.52,6.71,2.8,1.4,1,3.69,0
Bulungan,73.34,9.23,8.76,3.9,3.3,2.82,4.68,2
Bungo,71.92,8.6,5.06,3,1.6,1.45,3.68,0
Buol,70.28,9.2,13.08,3.9,2.3,1.73,4.01,0
Buru,71.01,9.02,16.08,2.6259,1.7017,1.1932,3.036,0
Buru Selatan,67.09,8.48,14.91,1,1.2,1,2.66,0
Buton,68.88,8.63,13.99,3.1,1.3,1,3.01,0
Buton Selatan,67,7.75,14.28,2.3,1,1,3.37,0
Buton Tengah,66.47,7.35,14.4,3.4,1.7,1.18,3.45,0
Buton Utara,70.6,9.24,14.09,1,1.2,1,3.5,0
Ciamis,72.56,8.1,7.39,5,2.9,2.36,4.14,2
Cianjur,67.24,7.33,10.14,4.1,3.4,2.09,4.45,2
Cilacap,72.38,7.4,10.68,4.2,2.7,1.91,3.81,2
Cilegon,75.14,10.39,3.75,2.5,2,1.36,3.31,0
Cimahi,80.08,11.52,4.39,3.8,3.8,3.27,4.76,2
Cirebon,71.44,7.65,11,4.1,3.1,2.36,4.2,2
Kota Cirebon,77.08,10.53,9.02,4.7,4.1,3.36,4.26,2
Dairi,73.92,9.89,7.1,2.8,1.6,1,3.87,0
Deiyai,52.07,3.29,39.01,1.43,1.0478,1,1.9313,1
Deli Serdang,76.92,10.29,3.44,4.3,3.5,2.27,3.88,2
Demak,74.57,8.28,11.89,3.6,3.8,2.82,4.51,2
Denpasar,85.22,11.53,2.59,4.1,3.9,3.27,4.2,2
Depok,82.91,11.59,2.34,4.9,4.3,3,4.64,2
Dharmasraya,74.06,8.98,5.32,5,3,2.36,4.01,2
Dogiyai,57.68,4.98,30.03,1,1,1,2.16,1
Dompu,70.78,9.04,11.59,2.5,1.8,1.45,3.3,0
Donggala,67.45,8,15.3,2.6,1.1,1,3.68,0
Dumai,76.19,10.29,3.14,4.3,3.6,2.36,4.51,2
Empat Lawang,67.25,7.68,10.78,1.4,1.6,1,3.49,0
Ende,69.11,8.29,22.57,3,1.5,1,3.62,0
Enrekang,74.61,9.11,11.25,3,2.9,1.73,3.95,0
Fak Fak,70.39,9.32,20.86,1.5,1.1,1,2.29,0
Flores Timur,66.29,8.06,11.25,1.2,1,1,3.36,0
Garut,68.79,7.85,9.68,5,4,2.36,4.07,2
Gayo Lues,69.83,8.44,18.3,3.1,1.5,1.27,3.74,0
Gianyar,79.82,9.84,4,3.1,3,2.73,4.14,2
Gorontalo,69.66,7.95,16.43,2.6,2.4,1.27,3.37,0
Kota Gorontalo,79.18,10.41,5.74,3.1,2.4,1,3.63,0
Gorontalo Utara,67.46,7.4,16.86,3.1,2.6,1.55,3.48,0
Gowa,72.26,8.53,6.85,4,2.7,2.82,4.32,2
Gresik,78.45,10.03,10.32,5,3.7,3.18,4.88,2
Grobogan,72.02,7.29,11.43,3.4,3,2.82,4.2,2
Gunung Kidul,71.89,7.35,15.18,4.4,3.3,2.45,4.75,2
Gunung Mas,72.73,9.37,5.68,2.9,1.9,1.27,3.69,0
Gunungsitoli,71.41,8.76,14.72,2.8,1.5,1.09,2.88,0
Halmahera Barat,67.53,8.59,8.75,1,1.1,1,2.92,0
Halmahera Selatan,66.66,8.42,5.63,2,2.1,1,3.25,0
Halmahera Tengah,68.45,9.2,10.71,1,1.1,1,2.92,0
Halmahera Timur,69.58,8.88,11.91,2,1.3,1.18,1.31,0
Halmahera Utara,69.78,8.67,4.71,3.1,2.1,1.27,3.49,0
Hulu Sungai Selatan,71.21,8.09,3.38,4.8,3.6,3.09,4.51,2
Hulu Sungai Tengah,70.69,8.35,5.81,3.6,2.9,1.82,4.13,2
Hulu Sungai Utara,68.28,7.78,5.75,1.9,1.9,1,3.56,0
Humbang Hasundutan,71.59,10.13,8.44,3.1,2.1,1,3.75,0
Indragiri Hilir,68.38,7.32,5.66,2.1,1.8,1,3.63,0
Indragiri Hulu,71.48,8.43,6.02,3.4,2.4,1,3.69,0
Indramayu,69.83,6.95,11.93,4.6,3.8,2.73,4.25,2
Intan Jaya,50.71,3.28,41.42,1.4661,1.0558,1.0009,1.9972,1
Jakarta Barat,83.64,11.24,3.94,4.4915,3.885,2.7543,4.5136,2
Jakarta Pusat,83.01,11.61,4.63,3.5843,3.0526,2.1834,4.2897,2
Jakarta Selatan,86.94,11.95,3.03,4.2547,3.5803,2.531,4.3236,2
Jakarta Timur,84.65,11.99,4.09,4.2953,3.6918,2.6868,4.324,2
Jakarta Utara,81.39,10.85,6.44,3.882,3.3308,2.5572,4.4593,2
Jambi,81.04,11.51,7.73,5,4.1,2.91,4.76,2
Jayapura,74.11,10.57,11.6,3.1,2.2,2.18,3.32,0
Kota Jayapura,81.67,12.07,10.72,3,1.4,1,3.17,0
Jayawijaya,61.03,5.99,32.28,2.6,1.2,1,3.57,1
Jember,69.15,6.54,9.01,3.2,2.9,2.82,4.26,2
Jembrana,74.6,8.7,4.51,4.3,3.8,2.45,4.08,2
Jeneponto,66.38,7.01,11.82,4.1,2.2,1,4.07,0
Jepara,74.32,8.27,6.09,3.8,2.9,2.45,4.14,2
Jombang,75.1,8.78,8.6,3.9,4.1,3.36,4,2
Kaimana,67.6,8.97,14.41,1,1.3,1,3.37,0
Kampar,74.85,9.58,6.92,3.2,2.5,1.09,3.81,0
Kapuas,71.32,7.93,5.25,3,1.7,1,3.63,0
Kapuas Hulu,68.58,8.03,7.4,3.9,2,1,3.63,0
Karanganyar,78.11,9.26,9.59,4.3,3.9,2.45,4.31,2
Karangasem,69.74,6.7,6.52,2.7,1.9,1.55,3.27,0
Karawang,72.9,8.05,7.86,4.9,4.3,3.36,4.7,2
Karimun,74.28,8.91,5.78,2.8,1,1,3.42,0
Karo,76.55,10.12,7.37,3.9,2.3,1,3.95,0
Katingan,70.7,8.95,5.26,3.8,2.9,1.82,3.81,2
Kaur,68.98,8.47,17.12,2.9,1.5,1,3.31,0
Kayong Utara,65.74,6.54,8.84,2.9,1.7,1,3.76,0
Kebumen,71.93,7.87,15.71,4.6,3.4,2.27,4.94,2
Kediri,74.44,8.26,9.95,5,4.1,4.09,5,2
Kota Kediri,81.35,10.92,6.51,3.8,3.8,2.55,4.45,2
Keerom,68.68,8.58,15.84,1,1,1,1.3,1
Kendal,74.34,7.74,9.35,4.4,2.8,2.36,4.38,2
Kendari,85.33,12.55,4.23,3.9,3,2,3.62,2
Kepahiang,70.27,8.37,12.9,2.8,1.6,1,3.38,0
Kepulauan Anambas,70.93,7.53,6.67,3.1,2.6,1.91,3.68,0
Kepulauan Aru,65.83,9.21,23.39,2.8,1.4,1,3.37,0
Kepulauan Mentawai,63.99,8.03,13.89,3,1.7,1,3.25,0
Kepulauan Meranti,67.92,8.12,23.15,4.2,3,1,3.57,0
Kepulauan Sangihe,72.71,8.65,10.84,3.8,1.5,1,3.13,0
Kepulauan Selayar,70.03,8.49,10.79,2.8,1.8,1,3.49,0
Kepulauan Seribu,74.17,9.26,13.03,3.1328,2.4045,1.8204,3.7384,0
Kepulauan Sula,65.99,9.17,7.96,3,1.2,1,2.65,0
Kepulauan Talaud,71.77,9.96,8.17,2.9,1.6,1,3.18,0
Kepulauan Yapen,69.65,9.71,25.69,2.1607,1.4069,1.0414,2.9691,0
Kerinci,73.11,8.6,6.93,2.4,1.4,1,2.98,0
Ketapang,69.42,7.68,8.5,3.5,2.5,1.82,3.7,0
Klaten,78.16,9.29,12.04,4.5,4,2.27,4.64,2
Klungkung,74.04,8.74,5.3,3.1,3.1,1.73,3.69,2
Kolaka,75.18,9.38,11.67,5,3.2,2.82,3.88,2
Kolaka Timur,70.27,8.43,13.71,2.5,1.3,1,2.87,0
Kolaka Utara,71.7,8.82,13.51,3.1,1.7,1.09,3.55,0
Konawe,73.39,9.69,13.25,3.1,2.1,2.09,3.62,0
Konawe Kepulauan,67.99,9.46,15.54,1,1.1,1,3.49,0
Konawe Selatan,71.19,8.76,11.2,4.8,2.7,2.55,4.31,2
Konawe Utara,72.32,9.61,13.17,2.5,2.2,1.09,3.95,0
Kota Baru,70.61,7.56,4.45,2.4,1.8,1,3.3,0
Kotamobagu,75.27,10.35,5.12,3.1,2.4,1,3.88,0
Kotawaringin Barat,74.44,8.77,4.11,3.1,2.2,1.64,3.63,0
Kotawaringin Timur,72.66,8.18,5.66,3.1,2.9,1.27,4.14,0
Kuantan Singingi,72.33,9.14,7.89,3.8,2.6,1.09,4.2,0
Kubu Raya,70.25,7.05,4.08,3.4,3,2.55,3.88,2
Kudus,77.22,9.35,7.23,3.8,3.9,3.27,4.88,2
Kulon Progo,76.14,9.2,15.62,4.4,3.8,3.27,4.06,2
Kuningan,71.26,7.9,11.88,3,3.2,2.82,4.2,2
Kupang,66.57,7.62,21.37,1.7,1.9,1.18,3.5,0
Kota Kupang,81.08,11.64,8.24,4.2,2.6,1.64,3.69,2
Kutai Barat,74.5,8.89,9.56,1.7,2,1.55,3.62,0
Kutai Kartanegara,75.91,9.27,7.28,3.6,2.2,1.82,3.88,2
Kutai Timur,75.53,9.47,8.81,3,2.4,2.27,3.64,2
Labuhan Batu,74.18,9.5,7.84,2.7899,1.9881,1.4362,3.6643,0
Labuhan Batu Selatan,73.67,9.19,7.73,3.2202,2.605,1.9621,4.0269,2
Labuhan Batu Utara,74.4,9.14,8.98,3.1603,2.6697,2.2109,3.922,2
Lahat,69.77,8.69,14.14,1.6,1.7,1,3.37,0
Lamandau,72.25,8.82,3.25,4,2.3,1.55,3.95,2
Lamongan,75.13,8.48,12.16,5,3.4,2.45,5,2
Lampung Barat,69.84,8.56,10.68,3.9,1.8,1,3.29,0
Lampung Selatan,70.28,7.78,12.57,4.1,2.7,1,3.74,0
Lampung Tengah,72.37,7.97,10.37,3.1,1.8,1.09,3.62,0
Lampung Timur,71.84,8.2,13.19,3.9,2.3,1.18,3.44,0
Lampung Utara,69.62,8.38,16.92,3.8,2.4,1.55,3.88,0
Landak,69.08,7.46,8.98,2.1,1.7,1,3.38,0
Langkat,72.73,8.74,9.04,5,2.9,1.91,4.32,2
Langsa,78.81,11.28,10.33,1.2,1,1.09,2.99,0
Lanny Jaya,51.59,3.83,34.12,1.4262,1.0503,1.0007,1.8567,1
Lebak,65.86,6.61,8.44,5,3,1.82,3.99,2
Lebong,69.27,8.41,10.45,3.8,3,2.09,3.93,2
Lembata,66.62,8.27,24.22,2.9,1.5,1,3.31,0
Lhokseumawe,79.55,11.31,10.44,3,1.8,1,3.95,0
Lima Puluh,71.14,8.13,6.92,3.3,2.2,1.09,3.38,0
Lingga,68.19,7.6,9.99,2.9,2,1,3.43,0
Lombok Barat,70.67,6.88,12.65,3.2,2.2,2.09,3.82,0
Lombok Tengah,69.17,6.73,12.07,3.7,2.5,1,3.88,0
Lombok Timur,69.23,7.36,14.51,3,3.3,1.55,3.95,0
Lombok Utara,67.24,6.4,23.96,3,1.9,1,3.69,0
Lubuklinggau,76.82,9.94,11.14,3,2,1.27,3.38,0
Lumajang,68.8,7.27,8.65,3.2,2.3,1.73,4.64,0
Luwu,72.79,8.81,11.7,1.2,2.1,1.27,3.75,0
Luwu Timur,74.95,8.94,6.55,3.9,2.3,1.36,4.08,0
Luwu Utara,72.07,8.37,11.24,3.5,2.6,1.82,4.07,2
Madiun,73.74,8.2,10.63,5,4,3,4.76,2
Kota Madiun,83.48,12.11,4.38,4.8,4.5,3.82,4.82,2
Magelang,71.99,7.83,10.83,4.9,4.1,2.09,4.2,2
Kota Magelang,82.15,11.43,5.94,3.5,3.2,2.64,4.39,2
Magetan,75.87,8.69,9.32,2.3,2.4,1.18,4.01,0
Mahakam Ulu,70.35,8.5,10.75,2.7,1.4,1,3.04,0
