Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE
Aceh Barat,73.69,9.99,17.6,3,1.7,1.18,3.68
Aceh Barat Daya,68.75,8.78,15.32,3,2.1,1.45,3.75
Aceh Besar,75.13,10.37,13.21,2.7,1.1,1,3.51
Aceh Jaya,71.83,9.02,12.25,3.5,1.7,1,3.56
Aceh Selatan,69.1,8.92,12.02,2.9,2.1,1,3.69
Aceh Singkil,70.75,8.72,19.06,3,1.2,1,3.13
Aceh Tamiang,72.32,9.3,12.17,2.3,2.1,1.27,4.01
Aceh Tengah,75.41,10.03,14.27,2.3,1.5,1,3.62
Aceh Tenggara,71.7,10.1,11.99,1,1.5,1,3.55
Aceh Timur,69.87,8.48,13.26,1.4,1.1,1,3.87
Aceh Utara,71.7,9.11,16.11,2.2,1.1,1,1.58
Agam,74.66,9.23,6.83,2.6,1.8,1.45,3.37
Alor,63.82,8.61,19.87,2.4,1.2,1,3.11
Asahan,72.09,8.85,8.12,2.9,2.1,1.82,3.64
Asmat,53.92,5.82,24.5,1,1.1,1,1
Badung,83.87,11.14,2.23,4.7,3.1,2.45,4.57
Balangan,71.34,8.13,4.87,4,2.8,1.64,4.07
Bandung,74.27,9.15,6.19,4.6,3.7,2.45,4.51
Bandung Barat,70.03,8.24,10.49,4.4,3.1,3.18,4.2
Banggai,72.32,8.81,6.56,5,2.9,2.18,4.07
Banggai Kepulauan,67.43,8.7,12.32,3.1,1.3,1.09,3.62
Banggai Laut,67.43,8.65,13.78,2,1.2,1.36,2.91
Bangka,73.98,8.45,4.24,2.5,1.8,1.36,3.95
Bangka Barat,70.67,7.48,2.59,3.8,2.5,2.18,3.69
Bangka Selatan,68.86,6.93,3.74,4.6,2.9,2.36,3.37
Bangka Tengah,71.9,7.24,5.94,4.7,4.3,2.55,4.31
Bangkalan,66.27,6.01,18.66,2.6,2.5,2,3.57
Bangli,71.34,7.58,5.06,2.2,2,1.09,3.82
Banjar,71.87,7.95,2.36,3,2,1,3.99
Banjarnegara,69.6,6.87,14.71,4.9,3.4,1.64,4.32
Bantaeng,71.48,7.26,8.26,4.9,3.3,1.82,4.13
Bantul,81.74,9.81,11.66,4,3.7,3.09,4.88
Banyu Asin,69.51,7.48,9.31,3.1,2.1,1,3.56
Banyumas,74.52,7.91,11.95,4.5,3.8,2.55,4.69
Banyuwangi,73.11,7.78,6.54,5,4.6,4.18,5
Barito Kuala,68.84,7.92,4.36,3.2,2.4,1.27,3.88
Barito Selatan,72.36,9.22,4.83,3.8,2.6,2.64,3.55
Barito Timur,73.26,9.54,6.66,3.1,1.7,1.73,3.75
Barito Utara,72.31,8.92,5.67,2.9,2.2,1.09,3.56
Barru,73.06,8.8,8.31,1.2,2.4,1.82,3.81
Batang,70.74,7.08,8.73,3.3,3.6,2.36,4.02
Batang Hari,71.67,8.35,8.63,3.1,3.3,2.18,4.31
Batu Bara,70.83,8.51,10.94,3,2.1,1,3.5
Bekasi,76.44,9.76,4.8,4.7,3.5,3.09,4.57
Belitung,74.47,9.05,6.11,3,2.8,3,3.88
Belitung Timur,73.19,8.99,6.36,4,4.2,3.09,4.57
Belu,64.43,7.5,13.86,3.5,1.5,1,3.25
Bener Meriah,75.01,10.13,18.18,2.4,1.8,1,3.82
Bengkalis,75.28,9.74,6.36,2.8,1.7,1.64,3.81
Bengkayang,70.3,7.41,6,3.3,2.8,1.36,3.88
Bengkulu Selatan,72.35,9.42,17.1,3.1,1.7,1.55,3.93
Bengkulu Tengah,69.84,7.71,10.14,2.1,2.4,1.36,3.82
Bengkulu Utara,71.11,8.32,10.96,2.9,3,1.82,4.07
Berau,76.66,9.57,5.08,2.8,1.9,1,2.8
Biak Numfor,73.98,10.55,23.46,2.371708354,1.396488961,1.076109974,3.247958071
Bima,68.94,8.3,13.88,2.9,1.8,1.18,3.3
Bintan,76.18,9.15,5.44,4,2.9,2,3.68
Bireuen,74.45,9.59,12.1,1.4,1.4,1.18,3.51
Blitar,73.09,7.87,8.16,4.6,3,3.09,4.2
Blora,71.39,7.26,11.42,3.5,2.6,1.45,4.25
Boalemo,68.74,7.31,17.83,2,1.6,1.27,3.37
Bogor,72.39,8.39,7.05,4,3.9,3,4.64
Bojonegoro,71.78,7.59,11.69,4.6,4.1,2.64,4.57
Bolaang Mongondow,70.29,8.38,7.74,2.3,2.2,1,3.76
Bolaang Mongondow Selatan,67.14,8.28,11.33,2.7,2,1.82,3.31
Bolaang Mongondow Timur,68.53,8.29,5.87,3.3,2.4,1.09,3.68
Bolaang Mongondow Utara,69.32,8.61,7.88,2.1,1.5,1.27,3.25
Bombana,68.15,8.1,10.54,2.9,2.5,1.55,3.51
Bondowoso,68.65,6.53,12.6,4,4.2,3,3.95
Bone,68.36,7.55,9.58,3.3,2.6,2.18,3.82
Bone Bolango,72.38,8.52,14.8,3.7,2,1.36,3.95
Boven Digoel,64.26,9.42,19.24,2,1.8,1,2.81
Boyolali,75.96,8.17,9.63,5,3.7,2.82,4.07
Brebes,68.46,6.41,15.6,2.8,2.3,1,3.82
Buleleng,74.52,7.69,5.39,3.7,3.5,2.36,4.26
Bulukumba,71.97,8.52,6.71,2.8,1.4,1,3.69
Bulungan,73.34,9.23,8.76,3.9,3.3,2.82,4.68
Bungo,71.92,8.6,5.06,3,1.6,1.45,3.68
Buol,70.28,9.2,13.08,3.9,2.3,1.73,4.01
Buru,71.01,9.02,16.08,2.625869795,1.701706359,1.193182469,3.035983015
Buru Selatan,67.09,8.48,14.91,1,1.2,1,2.66
Buton,68.88,8.63,13.99,3.1,1.3,1,3.01
Buton Selatan,67,7.75,14.28,2.3,1,1,3.37
Buton Tengah,66.47,7.35,14.4,3.4,1.7,1.18,3.45
Buton Utara,70.6,9.24,14.09,1,1.2,1,3.5
Ciamis,72.56,8.1,7.39,5,2.9,2.36,4.14
Cianjur,67.24,7.33,10.14,4.1,3.4,2.09,4.45
Cilacap,72.38,7.4,10.68,4.2,2.7,1.91,3.81
Cirebon,71.44,7.65,11,4.1,3.1,2.36,4.2
Dairi,73.92,9.89,7.1,2.8,1.6,1,3.87
Deiyai,52.07,3.29,39.01,1.430000033,1.047777781,1,1.931327663
Deli Serdang,76.92,10.29,3.44,4.3,3.5,2.27,3.88
Demak,74.57,8.28,11.89,3.6,3.8,2.82,4.51
Dharmasraya,74.06,8.98,5.32,5,3,2.36,4.01
Dogiyai,57.68,4.98,30.03,1,1,1,2.16
Dompu,70.78,9.04,11.59,2.5,1.8,1.45,3.3
Donggala,67.45,8,15.3,2.6,1.1,1,3.68
Empat Lawang,67.25,7.68,10.78,1.4,1.6,1,3.49
Ende,69.11,8.29,22.57,3,1.5,1,3.62
Enrekang,74.61,9.11,11.25,3,2.9,1.73,3.95
Fak Fak,70.39,9.32,20.86,1.5,1.1,1,2.29
Flores Timur,66.29,8.06,11.25,1.2,1,1,3.36
Garut,68.79,7.85,9.68,5,4,2.36,4.07
Gayo Lues,69.83,8.44,18.3,3.1,1.5,1.27,3.74
Gianyar,79.82,9.84,4,3.1,3,2.73,4.14
Gorontalo,69.66,7.95,16.43,2.6,2.4,1.27,3.37
Gorontalo Utara,67.46,7.4,16.86,3.1,2.6,1.55,3.48
Gowa,72.26,8.53,6.85,4,2.7,2.82,4.32
Gresik,78.45,10.03,10.32,5,3.7,3.18,4.88
Grobogan,72.02,7.29,11.43,3.4,3,2.82,4.2
Gunung Kidul,71.89,7.35,15.18,4.4,3.3,2.45,4.75
Gunung Mas,72.73,9.37,5.68,2.9,1.9,1.27,3.69
Halmahera Barat,67.53,8.59,8.75,1,1.1,1,2.92
Halmahera Selatan,66.66,8.42,5.63,2,2.1,1,3.25
Halmahera Tengah,68.45,9.2,10.71,1,1.1,1,2.92
Halmahera Timur,69.58,8.88,11.91,2,1.3,1.18,1.31
Halmahera Utara,69.78,8.67,4.71,3.1,2.1,1.27,3.49
Hulu Sungai Selatan,71.21,8.09,3.38,4.8,3.6,3.09,4.51
Hulu Sungai Tengah,70.69,8.35,5.81,3.6,2.9,1.82,4.13
Hulu Sungai Utara,68.28,7.78,5.75,1.9,1.9,1,3.56
Humbang Hasundutan,71.59,10.13,8.44,3.1,2.1,1,3.75
Indragiri Hilir,68.38,7.32,5.66,2.1,1.8,1,3.63
Indragiri Hulu,71.48,8.43,6.02,3.4,2.4,1,3.69
Indramayu,69.83,6.95,11.93,4.6,3.8,2.73,4.25
Intan Jaya,50.71,3.28,41.42,1.466075944,1.055790925,1.000927863,1.997165748
Jayapura,74.11,10.57,11.6,3.1,2.2,2.18,3.32
Jayawijaya,61.03,5.99,32.28,2.6,1.2,1,3.57
Jember,69.15,6.54,9.01,3.2,2.9,2.82,4.26
Jembrana,74.6,8.7,4.51,4.3,3.8,2.45,4.08
Jeneponto,66.38,7.01,11.82,4.1,2.2,1,4.07
Jepara,74.32,8.27,6.09,3.8,2.9,2.45,4.14
Jombang,75.1,8.78,8.6,3.9,4.1,3.36,4
Kaimana,67.6,8.97,14.41,1,1.3,1,3.37
Kampar,74.85,9.58,6.92,3.2,2.5,1.09,3.81
Kapuas,71.32,7.93,5.25,3,1.7,1,3.63
Kapuas Hulu,68.58,8.03,7.4,3.9,2,1,3.63
Karanganyar,78.11,9.26,9.59,4.3,3.9,2.45,4.31
Karangasem,69.74,6.7,6.52,2.7,1.9,1.55,3.27
Karawang,72.9,8.05,7.86,4.9,4.3,3.36,4.7
Karimun,74.28,8.91,5.78,2.8,1,1,3.42
Karo,76.55,10.12,7.37,3.9,2.3,1,3.95
Katingan,70.7,8.95,5.26,3.8,2.9,1.82,3.81
Kaur,68.98,8.47,17.12,2.9,1.5,1,3.31
Kayong Utara,65.74,6.54,8.84,2.9,1.7,1,3.76
Kebumen,71.93,7.87,15.71,4.6,3.4,2.27,4.94
Kediri,74.44,8.26,9.95,5,4.1,4.09,5
Keerom,68.68,8.58,15.84,1,1,1,1.3
Kendal,74.34,7.74,9.35,4.4,2.8,2.36,4.38
Kepahiang,70.27,8.37,12.9,2.8,1.6,1,3.38
Kepulauan Anambas,70.93,7.53,6.67,3.1,2.6,1.91,3.68
Kepulauan Aru,65.83,9.21,23.39,2.8,1.4,1,3.37
Kepulauan Mentawai,63.99,8.03,13.89,3,1.7,1,3.25
Kepulauan Meranti,67.92,8.12,23.15,4.2,3,1,3.57
Kepulauan Sangihe,72.71,8.65,10.84,3.8,1.5,1,3.13
Kepulauan Selayar,70.03,8.49,10.79,2.8,1.8,1,3.49
Kepulauan Seribu,74.17,9.26,13.03,3.132757175,2.404538516,1.820354648,3.738417222
Kepulauan Sula,65.99,9.17,7.96,3,1.2,1,2.65
Kepulauan Talaud,71.77,9.96,8.17,2.9,1.6,1,3.18
Kepulauan Yapen,69.65,9.71,25.69,2.160724162,1.406858977,1.041359399,2.969149357
Kerinci,73.11,8.6,6.93,2.4,1.4,1,2.98
Ketapang,69.42,7.68,8.5,3.5,2.5,1.82,3.7
Klaten,78.16,9.29,12.04,4.5,4,2.27,4.64
Klungkung,74.04,8.74,5.3,3.1,3.1,1.73,3.69
Kolaka,75.18,9.38,11.67,5,3.2,2.82,3.88
Kolaka Timur,70.27,8.43,13.71,2.5,1.3,1,2.87
Kolaka Utara,71.7,8.82,13.51,3.1,1.7,1.09,3.55
Konawe,73.39,9.69,13.25,3.1,2.1,2.09,3.62
Konawe Kepulauan,67.99,9.46,15.54,1,1.1,1,3.49
Konawe Selatan,71.19,8.76,11.2,4.8,2.7,2.55,4.31
Konawe Utara,72.32,9.61,13.17,2.5,2.2,1.09,3.95
Kota Ambon,82.56,12.24,5.13,3.2,2.1,1,3.37
Kota Balikpapan,82.24,10.99,2.23,4.5,3.9,2.64,4.32
Kota Banda Aceh,87.17,13.1,6.95,4,3.3,2.18,4.37
Kota Bandar Lampung,79.19,10.99,7.37,2.9,2.4,2.55,3.48
Kota Bandung,83.52,11.07,3.87,5,4.8,4.18,4.51
Kota Banjar,73.64,8.83,5.85,3.5,3,1.82,4.57
Banjar Baru,80.51,11,3.79,2.9,2.1,1.55,3.49
Banjarmasin,79.05,10.35,4.58,5,3.3,2.18,4.88
Kota Baru,70.61,7.56,4.45,2.4,1.8,1,3.3
Batam,82.86,11.21,4.85,4.1,3.5,2.73,4.19
Batu,78.79,9.87,3.06,3.7,3.4,2.36,4.07
Bau Bau,78.13,11.03,7.4,3.1,2.4,2.45,3.69
Kota Bekasi,83.54,11.79,4.01,4.1,3.3,2.55,4.5
Bengkulu,82.04,11.84,13.76,3,1.9,1.18,3.44
Kota Bima,78.04,10.96,8.12,2.4,1.9,1,3.76
Binjai,78.1,11.2,4.75,3.3,2.8,1.73,3.75
Bitung,75.71,9.96,6.27,3.9,3.4,2.18,3.51
Kota Blitar,81.27,10.82,6.75,4.3,3.4,3.27,4.76
Kota Bogor,78.52,10.71,6.53,4.1,3.9,3.64,4.33
Bontang,82.42,10.97,3.74,3.2,2.7,2.55,4.13
Bukittinggi,82.51,11.65,4.08,1.1,1.6,1.09,3.88
Cilegon,75.14,10.39,3.75,2.5,2,1.36,3.31
Cimahi,80.08,11.52,4.39,3.8,3.8,3.27,4.76
Kota Cirebon,77.08,10.53,9.02,4.7,4.1,3.36,4.26
Denpasar,85.22,11.53,2.59,4.1,3.9,3.27,4.2
Kota Depok,82.91,11.59,2.34,4.9,4.3,3,4.64
Dumai,76.19,10.29,3.14,4.3,3.6,2.36,4.51
Kota Gorontalo,79.18,10.41,5.74,3.1,2.4,1,3.63
Gunungsitoli,71.41,8.76,14.72,2.8,1.5,1.09,2.88
Kota Jakarta Barat,83.64,11.24,3.94,4.491518215,3.885016451,2.754345686,4.513606518
Kota Jakarta Pusat,83.01,11.61,4.63,3.584263952,3.052567616,2.183408313,4.289732101
Kota Jakarta Selatan,86.94,11.95,3.03,4.254659897,3.580305811,2.530963682,4.323607894
Kota Jakarta Timur,84.65,11.99,4.09,4.295325406,3.691824041,2.686833389,4.323967942
Kota Jakarta Utara,81.39,10.85,6.44,3.882001747,3.330817955,2.557170892,4.459299131
Jambi,81.04,11.51,7.73,5,4.1,2.91,4.76
Kota Jayapura,81.67,12.07,10.72,3,1.4,1,3.17
Kota Kediri,81.35,10.92,6.51,3.8,3.8,2.55,4.45
Kendari,85.33,12.55,4.23,3.9,3,2,3.62
Kotamobagu,75.27,10.35,5.12,3.1,2.4,1,3.88
Kota Kupang,81.08,11.64,8.24,4.2,2.6,1.64,3.69
Langsa,78.81,11.28,10.33,1.2,1,1.09,2.99
Lhokseumawe,79.55,11.31,10.44,3,1.8,1,3.95
Lubuklinggau,76.82,9.94,11.14,3,2,1.27,3.38
Kota Madiun,83.48,12.11,4.38,4.8,4.5,3.82,4.82
Kota Magelang,82.15,11.43,5.94,3.5,3.2,2.64,4.39
Makassar,83.9,11.57,4.97,4.5,3.5,2.55,4.69
Kota Malang,84.06,11.14,3.91,4.7,4.3,2.55,4.69
Manado,80.63,11.46,5.43,5,3.4,2.55,4.42
Mataram,80.6,9.58,8,3.3,3.2,3.18,3.96
Medan,82.76,11.79,7.94,3.2,3.2,1.64,4.8
Metro,78.93,11.01,6.78,2.7,3.1,2.73,3.87
Kota Mojokerto,80.92,11.38,5.57,5,3.8,3,4.88
Kota Padang,83.99,11.63,4.06,4.7,3.7,2.45,4.44
Padang Panjang,80.17,12,5.31,3.6,2.9,1.36,3.82
Padangsidimpuan,76.96,11.13,6.23,2.8,2,1.09,3.56
Pagar Alam,71.19,9.44,8.18,3,1.2,1,3.69
Palangka Raya,82.2,11.66,3.52,3.4,3.3,2.09,4.69
Palembang,80.57,10.93,9.77,4,2.9,3,3.88
Palopo,79.94,11.16,7.35,3.7,2.2,1,4.24
Palu,82.88,11.75,5.94,3.1,1.9,1,3.37
Pangkal Pinang,80.4,10.67,4.04,4.7,3.5,1.27,4.64
Parepare,79.64,10.88,5.27,2.8,1.2,1,3.94
Pariaman,78.88,11.06,4.26,4,2.9,1.73,4.19
Kota Pasuruan,77.75,9.94,6.32,4.9,3.4,2.73,4.7
Payakumbuh,80.61,10.89,5.19,3.3,3.4,2.36,4.57
Kota Pekalongan,77.22,9.34,6.71,4.4,3.3,2.55,4.27
Pekanbaru,82.89,11.96,3.15,4.8,3.7,2.36,4.2
Pematang Siantar,81.17,11.82,7.2,3.5,2.7,1.36,3.74
Pontianak,81.57,10.47,4.2,3.6,3.4,1.73,4.14
Prabumulih,77.08,10.36,10.13,3.7,2.9,2.55,3.83
Kota Probolinggo,76.27,9.72,6.18,4.1,3.8,2.73,4.63
Sabang,78.32,11.22,14.58,3.5,2.1,1,4.12
Salatiga,85.72,11.48,4.57,3.3,3.6,2.27,4.25
Samarinda,82.81,10.95,4.3,4,3.9,2,4.45
Sawah Lunto,75.13,10.53,2.33,2.9,3,2.27,4.2
Kota Semarang,85.25,11.05,4.03,5,3.6,2.27,4.45
Kota Serang,73.99,8.93,5.65,1.8,1.9,1,3.82
Sibolga,75.66,10.45,11.39,2.6,1.6,1,3.31
Singkawang,73.87,8.22,4.53,3.2,3.3,1.18,4.2
Kota Solok,80,11.37,3.07,4.1,3.9,1.18,4.51
Kota Sorong,79.93,11.57,13.67,1,1.2,1,2.61
Subulussalam,68.04,8.43,16.38,3.1,1.4,1,3.43
Kota Sukabumi,76.85,10.38,7.2,4.2,3.8,3.18,3.88
Sungai Penuh,77.4,10.48,2.92,3.9,1.8,1.82,4.14
Surabaya,84.14,10.89,3.96,5,4.6,2.82,5
Surakarta,84.4,11.25,8.31,5,4.2,2.82,4.7
Kota Tangerang,80.02,11.14,5.43,3.8,4.4,2.27,4.13
Tangerang Selatan,82.89,11.86,2.36,3.9,3.8,2.45,3.56
